V1,V2,eez
129.67,6.25,PW
129.88,2.5,PW
132.7,1.65,PW
133.9,3,PW
134.7,3.5,PW
136.5,3.6,PW
137,5,PW
136.1,8,PW
135.85,10.45,PW
135.2,11.3,PW
134,11.2,PW
133.1,10.9,PW
132.35,10.3,PW
131.6,9.5,PW
131.1,8.6,PW
130,8,PW
129.67,6.25,PW
NA,NA,NA
154.9,-7.43,SB
155,-8.65,SB
157.7,-10.9,SB
158,-11.45,SB
157.2,-13.6,SB
156.73,-14.1,SB
157.02,-14.18,SB
157.3,-14.32,SB
157.73,-14.68,SB
158.5,-15.47,SB
158.87,-15.85,SB
163.2,-14.8,SB
163.35,-13.7,SB
164,-12.67,SB
165.5,-12.1,SB
168,-12.8,SB
169,-13.8,SB
170.15,-14,SB
172.6,-14.95,SB
172.6,-14.35,SB
173.2,-13.4,SB
173.65,-12.5,SB
173.65,-11.55,SB
173.5,-10.8,SB
173.1,-10,SB
172.5,-9.45,SB
171.67,-8.8,SB
170.65,-8.55,SB
170,-8.5,SB
169.67,-8,SB
168.8,-7.2,SB
167.9,-6.85,SB
167.1,-6.75,SB
166.45,-6.8,SB
166,-6.9,SB
165.35,-6,SB
164.65,-5.6,SB
164.15,-5.25,SB
163.2,-5,SB
162.75,-4.65,SB
158.15,-4.55,SB
157.5,-5.75,SB
156.87,-5.68,SB
156.47,-5.85,SB
156.32,-6.33,SB
156.05,-6.58,SB
156.05,-6.67,SB
155.88,-6.8,SB
155.55,-6.95,SB
155.43,-7.37,SB
154.9,-7.43,SB
NA,NA,NA
164,-2,NR
164.6,-2.75,NR
165.4,-3.35,NR
166.3,-3.75,NR
167.1,-3.8,NR
167.8,-3.72,NR
168.57,1.77,NR
168.3,1.9,NR
166,2.65,NR
165.15,2.2,NR
164.5,1.65,NR
164,0.85,NR
163.7,0,NR
163.65,-0.65,NR
163.85,-1.5,NR
164,-2,NR
NA,NA,NA
175.8,-8.95,TV
175.85,-9.5,TV
177.1,-10.2,TV
179.7,-13.1,TV
181.9,-11.7,TV
183,-10,TV
183.2,-9.6,TV
183.1,-8.4,TV
182.6,-7.5,TV
182.1,-6.85,TV
181.8,-6,TV
181.2,-5.2,TV
181,-4.95,TV
180.05,-4.4,TV
179.9,-3.97,TV
177.23,-4.35,TV
176.7,-4.23,TV
176.15,-4.07,TV
173.57,-4.08,TV
172.95,-4.27,TV
173,-4.3,TV
172.9,-5.2,TV
172.9,-6.2,TV
173.15,-7,TV
174,-8,TV
175,-8.6,TV
175.8,-8.95,TV
NA,NA,NA
135.2,11.3,FM
135.85,10.45,FM
136.1,8,FM
137,5,FM
138,5.05,FM
138.9,5.3,FM
139.65,5,FM
140.5,4.9,FM
141,4.25,FM
141.55,3.8,FM
142.3,3.6,FM
143.2,3.5,FM
144.5,3.8,FM
145.3,4,FM
145.75,4.25,FM
147.25,4,FM
148,3.5,FM
149,3,FM
150,3,FM
151,3.42,FM
151.75,2.25,FM
151.65,1.75,FM
152.75,0.33,FM
154,-0.97,FM
157.25,-1.1,FM
157.65,-0.4,FM
158.1,0.5,FM
158.15,1.4,FM
158,2,FM
158.2,2.65,FM
159.35,3.2,FM
160.65,2.95,FM
160.65,2.95,FM
161.55,2.4,FM
162.6,2,FM
163.7,2.05,FM
164.6,2.55,FM
165.55,3.3,FM
165.3,6,FM
163,8.1,FM
162.6,8,FM
161,8.1,FM
159.8,8.5,FM
157.7,10.5,FM
157.3,10.4,FM
156.35,10.85,FM
155.5,11.05,FM
154.75,11,FM
154,11,FM
153,12,FM
152.4,12.05,FM
151.7,12,FM
151,12.2,FM
150,12.3,FM
149,12.1,FM
148,11.5,FM
147.8,11.7,FM
142.75,10.85,FM
141.3,13,FM
140,13.3,FM
139.5,13.35,FM
138.75,13.15,FM
138.1,12.95,FM
137,12.65,FM
136.05,12.1,FM
135.2,11.3,FM
NA,NA,NA
157.7,10.5,MH
159.8,8.5,MH
161,8.1,MH
162.6,8,MH
163,8.1,MH
165.3,6,MH
165.55,3.3,MH
166,2.65,MH
168.3,1.9,MH
168.57,1.77,MH
169.92,1.98,MH
170.2,2.4,MH
170.75,4.02,MH
170.95,4.28,MH
172.42,4.55,MH
175.48,5.57,MH
175.35,6,MH
175.65,7,MH
175.55,8,MH
175.3,9,MH
174.8,9.5,MH
174.25,10.05,MH
174.2,11,MH
173.45,12.4,MH
173.1,13.65,MH
172.45,14.55,MH
172.4,15.4,MH
172,16.6,MH
171.2,17.6,MH
170,18,MH
165.7,16.05,MH
165.5,15.05,MH
164.55,14.95,MH
163.8,14.6,MH
162.8,14.85,MH
161.65,14.85,MH
160.4,14.45,MH
159.7,13.7,MH
159,12.6,MH
158.4,12,MH
157.85,11.3,MH
157.7,10.5,MH
NA,NA,NA
167.8,-3.72,KI
168.57,1.77,KI
169.92,1.98,KI
170.2,2.4,KI
170.75,4.02,KI
170.95,4.28,KI
172.42,4.55,KI
175.48,5.57,KI
175.55,5.37,KI
175.63,5.35,KI
175.78,5.17,KI
175.95,4.87,KI
176.02,4.7,KI
176.15,4.38,KI
176.23,4.05,KI
176.28,3.7,KI
176.32,3.37,KI
176.38,3.2,KI
176.45,3.07,KI
176.48,2.97,KI
176.57,2.65,KI
176.6,2.37,KI
176.67,2.27,KI
176.77,2.15,KI
176.83,1.98,KI
177.17,1.93,KI
177.5,1.83,KI
177.82,1.73,KI
178.12,1.57,KI
178.42,1.38,KI
178.67,1.15,KI
178.9,0.92,KI
179.12,0.67,KI
179.28,0.4,KI
179.45,0.1,KI
179.58,-0.22,KI
179.67,-0.53,KI
179.72,-0.85,KI
179.75,-1.05,KI
179.9,-1.37,KI
180.03,-1.7,KI
180.1,-2.03,KI
180.17,-2.38,KI
180.18,-2.72,KI
180.13,-3.07,KI
180.08,-3.42,KI
180,-3.75,KI
179.9,-3.97,KI
177.23,-4.35,KI
176.7,-4.23,KI
176.15,-4.07,KI
173.57,-4.08,KI
172.95,-4.27,KI
172.72,-4.03,KI
172.47,-3.8,KI
172.23,-3.55,KI
172.1,-3.37,KI
171.97,-3.13,KI
171.83,-3.28,KI
171.67,-3.43,KI
171.38,-3.65,KI
171.12,-3.82,KI
170.82,-3.95,KI
170.47,-4.07,KI
170.17,-4.15,KI
169.82,-4.2,KI
169.47,-4.22,KI
169.13,-4.18,KI
168.77,-4.1,KI
168.43,-4,KI
168.12,-3.88,KI
167.8,-3.72,KI
NA,NA,NA
207.18,-13.83,KI
205.03,-12.57,KI
204.93,-12.32,KI
204.87,-12.03,KI
204.68,-11.72,KI
204.52,-11.37,KI
205.07,-8.5,KI
200.72,-5.87,KI
200.85,-4.82,KI
201.23,-3.87,KI
201.75,-3.2,KI
203,-1.53,KI
201.77,0.17,KI
200.48,1.72,KI
198.2,2.03,KI
197.6,2,KI
197.25,2.3,KI
196.92,2.68,KI
200.62,7.88,KI
201.55,7.43,KI
202.1,6.95,KI
202.97,6.37,KI
203.62,5.58,KI
203.88,5.08,KI
204.85,4.5,KI
205.8,3.47,KI
205.95,2.83,KI
205.13,2.1,KI
206.1,1.12,KI
205.75,0.15,KI
205.13,-0.67,KI
206.2,-0.85,KI
207.08,-1.33,KI
